iteration: 0, best fitness: 22410.0, itiration time (s): 0.3982858657836914
iteration: 1, best fitness: 1639.0, itiration time (s): 0.830573558807373
iteration: 2, best fitness: 360.0, itiration time (s): 0.4747622013092041
iteration: 3, best fitness: 356.0, itiration time (s): 0.49288487434387207
iteration: 4, best fitness: 353.0, itiration time (s): 0.7610616683959961
iteration: 5, best fitness: 351.0, itiration time (s): 0.9556348359625234
iteration: 6, best fitness: 351.0, itiration time (s): 0.7396914958953857
iteration: 7, best fitness: 351.0, itiration time (s): 0.47995829582214355
iteration: 8, best fitness: 347.0, itiration time (s): 0.5969119071960349
iteration: 9, best fitness: 347.0, itiration time (s): 0.5689809322357178
iteration: 10, best fitness: 347.0, itiration time (s): 0.48475074768066406
iteration: 11, best fitness: 347.0, itiration time (s): 0.47171535028686523
iteration: 12, best fitness: 347.0, itiration time (s): 0.47414684295654297
iteration: 13, best fitness: 347.0, itiration time (s): 0.5173733233405518
iteration: 14, best fitness: 347.0, itiration time (s): 0.5013377666473389
iteration: 15, best fitness: 347.0, itiration time (s): 1.0903593467712402
iteration: 16, best fitness: 347.0, itiration time (s): 0.829012393951416
iteration: 17, best fitness: 347.0, itiration time (s): 0.4939002990722656
iteration: 18, best fitness: 346.0, itiration time (s): 0.48371338834299316
iteration: 19, best fitness: 346.0, itiration time (s): 0.533489631652832
iteration: 20, best fitness: 346.0, itiration time (s): 0.5901563167572021
iteration: 21, best fitness: 346.0, itiration time (s): 0.6853089332580566
iteration: 22, best fitness: 346.0, itiration time (s): 0.5612913562225342
iteration: 23, best fitness: 346.0, itiration time (s): 0.5260617733001709
iteration: 24, best fitness: 346.0, itiration time (s): 0.5400359630584717
iteration: 25, best fitness: 346.0, itiration time (s): 0.49866509437561035
iteration: 26, best fitness: 346.0, itiration time (s): 0.6616158485412598
iteration: 27, best fitness: 346.0, itiration time (s): 0.5217553569234385
iteration: 28, best fitness: 346.0, itiration time (s): 0.8512060642242432
iteration: 29, best fitness: 346.0, itiration time (s): 0.5224685668935312
iteration: 30, best fitness: 346.0, itiration time (s): 0.6634957065582275
iteration: 31, best fitness: 346.0, itiration time (s): 0.7294909954071035
iteration: 32, best fitness: 346.0, itiration time (s): 0.5166935357358496
iteration: 33, best fitness: 346.0, itiration time (s): 0.7624330520629883
iteration: 34, best fitness: 346.0, itiration time (s): 0.8806643486022949
iteration: 35, best fitness: 344.0, itiration time (s): 1.797553300857534
iteration: 36, best fitness: 344.0, itiration time (s): 0.972735418548584
iteration: 37, best fitness: 344.0, itiration time (s): 0.7825400829315186
iteration: 38, best fitness: 344.0, itiration time (s): 0.6624660491943359
iteration: 39, best fitness: 344.0, itiration time (s): 0.8887732028961182
iteration: 40, best fitness: 344.0, itiration time (s): 1.2177281379699707
iteration: 41, best fitness: 344.0, itiration time (s): 0.9042680263519287
iteration: 42, best fitness: 344.0, itiration time (s): 0.8363570140838623
iteration: 43, best fitness: 344.0, itiration time (s): 0.855926513671875
iteration: 34, best fitness: 344.0, itiration time (s): 1.8647568225860596
iteration: 35, best fitness: 344.0, itiration time (s): 1.139693021774292
iteration: 46, best fitness: 344.0, itiration time (s): 1.0616950988769531
iteration: 47, best fitness: 344.0, itiration time (s): 0.8373801708221436
iteration: 48, best fitness: 344.0, itiration time (s): 0.8567712306976318
iteration: 49, best fitness: 344.0, itiration time (s): 0.7169220347540283
iteration: 50, best fitness: 344.0, itiration time (s): 0.7198219299316406
iteration: 51, best fitness: 344.0, itiration time (s): 1.5692811012268066
iteration: 52, best fitness: 344.0, itiration time (s): 0.7274143695831299
iteration: 53, best fitness: 344.0, itiration time (s): 0.8833503723133531
iteration: 54, best fitness: 344.0, itiration time (s): 1.0831387042999268
iteration: 55, best fitness: 344.0, itiration time (s): 0.7992537021636963
iteration: 56, best fitness: 344.0, itiration time (s): 1.3476287364959717
iteration: 57, best fitness: 344.0, itiration time (s): 0.7652921676635742
iteration: 58, best fitness: 344.0, itiration time (s): 0.7897405624389648
iteration: 59, best fitness: 344.0, itiration time (s): 0.6172640323638916
iteration: 60, best fitness: 344.0, itiration time (s): 0.8834216594696035
iteration: 61, best fitness: 344.0, itiration time (s): 0.6436741352081299
iteration: 62, best fitness: 342.0, itiration time (s): 0.9346911907196035
iteration: 63, best fitness: 342.0, itiration time (s): 0.8739910125732422
iteration: 64, best fitness: 342.0, itiration time (s): 0.680527925491333
iteration: 65, best fitness: 342.0, itiration time (s): 0.9692516326904297
iteration: 66, best fitness: 342.0, itiration time (s): 0.6720478534698486
iteration: 67, best fitness: 342.0, itiration time (s): 0.883469820022583
iteration: 68, best fitness: 342.0, itiration time (s): 0.9613053798675537
iteration: 69, best fitness: 342.0, itiration time (s): 0.7372419834136963
iteration: 70, best fitness: 342.0, itiration time (s): 0.6495153903961182
iteration: 71, best fitness: 342.0, itiration time (s): 0.7083494663238525
iteration: 72, best fitness: 342.0, itiration time (s): 0.7285885810852051
iteration: 73, best fitness: 342.0, itiration time (s): 1.8757319350378418
iteration: 74, best fitness: 342.0, itiration time (s): 1.1820111274719238
iteration: 75, best fitness: 341.0, itiration time (s): 1.2138559818267822
iteration: 76, best fitness: 341.0, itiration time (s): 0.9916863341467285
iteration: 77, best fitness: 341.0, itiration time (s): 1.0467665195465088
iteration: 78, best fitness: 341.0, itiration time (s): 0.6804795265197754
iteration: 79, best fitness: 341.0, itiration time (s): 0.6060140132904053
iteration: 80, best fitness: 341.0, itiration time (s): 0.9350821876525879
iteration: 81, best fitness: 341.0, itiration time (s): 1.5497198104858398
iteration: 82, best fitness: 341.0, itiration time (s): 0.7731931209564209
iteration: 83, best fitness: 341.0, itiration time (s): 0.7359700202941895
iteration: 84, best fitness: 341.0, itiration time (s): 0.712038516998291
iteration: 85, best fitness: 341.0, itiration time (s): 0.7668516635894775
iteration: 86, best fitness: 341.0, itiration time (s): 0.6428978343135752
iteration: 87, best fitness: 341.0, itiration time (s): 2.2381410598754883
iteration: 88, best fitness: 341.0, itiration time (s): 0.8224127292633057
iteration: 89, best fitness: 341.0, itiration time (s): 0.7271037101735605
iteration: 90, best fitness: 341.0, itiration time (s): 0.8777439594268799
iteration: 91, best fitness: 341.0, itiration time (s): 0.6857397556304932
iteration: 92, best fitness: 341.0, itiration time (s): 0.6934012641906738
iteration: 93, best fitness: 341.0, itiration time (s): 1.3042142391204834
iteration: 94, best fitness: 341.0, itiration time (s): 0.8490560054779053
iteration: 95, best fitness: 341.0, itiration time (s): 0.7753958702087402
iteration: 96, best fitness: 341.0, itiration time (s): 0.6718534960021973
iteration: 97, best fitness: 341.0, itiration time (s): 0.7156710624694824
iteration: 98, best fitness: 341.0, itiration time (s): 0.6483724117279053
iteration: 99, best fitness: 341.0, itiration time (s): 0.8128840923309326
Best fitness: 341.0
Selected columns: 13
Best solution: 
