iteracion: 0, best fitness: 23324.0, tiempo iteracion (s): 0.029484033584594727
iteracion: 1, best fitness: 23324.0, tiempo iteracion (s): 0.03298163414001465
iteracion: 2, best fitness: 23324.0, tiempo iteracion (s): 0.039385318756103516
iteracion: 3, best fitness: 23324.0, tiempo iteracion (s): 0.0463414192199707
iteracion: 4, best fitness: 23324.0, tiempo iteracion (s): 0.047607421875
iteracion: 5, best fitness: 23324.0, tiempo iteracion (s): 0.03770256042480469
iteracion: 6, best fitness: 23324.0, tiempo iteracion (s): 0.04188847541809082
iteracion: 7, best fitness: 23324.0, tiempo iteracion (s): 0.03651094436645508
iteracion: 8, best fitness: 23324.0, tiempo iteracion (s): 0.04792642593383789
iteracion: 9, best fitness: 23324.0, tiempo iteracion (s): 0.04239344596862793
iteracion: 10, best fitness: 23324.0, tiempo iteracion (s): 0.03882408142089844
iteracion: 11, best fitness: 23324.0, tiempo iteracion (s): 0.06128215789794922
iteracion: 12, best fitness: 23324.0, tiempo iteracion (s): 0.039774179458618164
iteracion: 13, best fitness: 23324.0, tiempo iteracion (s): 0.07842588424682617
iteracion: 14, best fitness: 23324.0, tiempo iteracion (s): 0.07341313362121582
iteracion: 15, best fitness: 23324.0, tiempo iteracion (s): 0.07975220680236816
iteracion: 16, best fitness: 23324.0, tiempo iteracion (s): 0.06027412414550781
iteracion: 17, best fitness: 23324.0, tiempo iteracion (s): 0.15317535400390625
iteracion: 18, best fitness: 23324.0, tiempo iteracion (s): 0.06609869003295898
iteracion: 19, best fitness: 23324.0, tiempo iteracion (s): 0.06581401824951172
iteracion: 20, best fitness: 23324.0, tiempo iteracion (s): 0.08941888809204102
iteracion: 21, best fitness: 23324.0, tiempo iteracion (s): 0.06638431549072266
iteracion: 22, best fitness: 23324.0, tiempo iteracion (s): 0.07443904876708984
iteracion: 23, best fitness: 23324.0, tiempo iteracion (s): 0.0678398609161377
iteracion: 24, best fitness: 23324.0, tiempo iteracion (s): 0.05350995063781738
iteracion: 25, best fitness: 23324.0, tiempo iteracion (s): 0.046187400817871094
iteracion: 26, best fitness: 23324.0, tiempo iteracion (s): 0.03729438781738281
